,2_way_label,bert_score
942,0,-0.5710888
180,1,1.5801224
1079,0,0.24163511
1430,0,1.2508191
1171,0,1.2437602
575,0,-1.0547937
1121,1,0.612907
1373,1,0.9530779
1114,0,1.4421034
197,0,0.34201333
1847,1,1.4405571
1734,0,-0.43678558
1215,1,1.5409912
140,0,-0.47903928
408,0,-0.49835518
876,1,1.1587178
1186,1,-0.20395836
344,1,-0.58837897
1527,1,1.0131532
262,1,-0.12380413
362,1,-0.5596285
1634,0,0.4906572
944,1,0.41065735
1849,1,0.6862218
319,0,0.77669895
1967,0,1.1759309
1004,0,1.0505005
872,1,0.042021748
1982,0,-0.26879823
134,0,0.5519176
251,1,0.949525
1521,1,0.73699015
837,1,1.2972943
1411,1,-0.18979126
1418,0,0.38882506
318,1,1.3835772
1248,0,1.0519849
1002,1,0.97440505
1476,1,0.06151421
1949,1,1.0358506
969,1,1.1764315
106,0,0.5228599
1295,1,0.9900997
1560,1,0.5286463
726,1,-0.6663255
682,0,0.8073016
240,1,1.4168757
1470,0,-0.7089782
1750,0,-0.6998333
1783,0,-0.4565938
1209,1,0.07797261
1188,0,-1.1189524
1564,1,1.2625042
379,1,0.06732511
1232,1,0.54440683
823,1,0.58389246
417,0,0.7294671
908,0,1.4507691
314,0,-0.49243036
1322,1,1.091505
334,0,-0.047037017
491,1,0.10414833
225,0,-1.1501629
474,0,-1.3019874
1487,1,1.3532716
1603,1,1.2252252
1152,1,0.75492775
1486,0,-0.8512931
1758,1,0.17108154
910,0,0.38677728
1147,1,1.431539
72,1,1.5494926
461,1,0.96883196
11,1,-0.3744626
33,0,0.58584195
636,0,1.1688938
55,1,0.491022
346,0,0.7209451
39,1,1.2221047
1777,0,-0.6368144
1547,0,0.43762383
6,1,-0.115353666
1391,0,1.1616395
48,1,1.4030846
231,1,-0.39023095
1979,1,1.4606633
1775,1,0.93657315
1033,1,-0.48851666
188,1,0.6140826
590,1,1.2654089
45,0,1.2294644
851,1,0.3339284
860,1,0.71073896
1419,1,-0.3759554
792,1,1.5241
26,1,0.39802873
701,0,-0.9147407
995,1,-0.24954526
1176,1,0.37346736
19,1,-0.5876408
1084,1,0.7940738
1000,0,-0.6782235
1855,0,1.1392884
988,0,-0.7410458
1996,1,-0.3420828
1955,1,1.1718401
1674,1,-0.6764418
1113,0,-0.3011187
494,1,-0.58441025
1331,0,0.64518994
1735,1,1.6199589
59,0,0.34210473
161,1,-0.77193886
1338,1,-0.4252748
1666,0,1.3788611
1714,1,1.2154533
1665,1,0.8715204
1022,1,1.3411363
1485,0,-1.178575
333,0,-0.5143063
1327,1,-0.6047343
463,0,1.3105506
363,1,1.1869966
539,0,0.38923088
1439,1,1.2968484
826,0,1.1550276
1008,1,1.3972185
1184,0,-0.73450375
1669,0,0.23575212
1314,1,1.2920148
1957,0,1.0795199
1237,0,0.15788886
705,1,-0.42674685
655,1,-0.331265
293,0,0.9349331
1443,0,1.3665838
248,0,0.051361382
1534,0,1.4498833
1145,0,0.045581277
1130,0,-0.11232008
147,1,0.5215647
366,1,0.9103564
83,1,-0.5342386
1484,0,0.88555074
1467,1,0.98000336
1608,1,0.8985779
887,1,0.8109536
570,0,0.44203427
164,1,0.977885
196,1,0.42371735
1142,0,0.19782527
831,1,1.1804541
1808,1,0.14509931
1899,1,0.65633535
1887,0,0.4122545
169,1,1.1844205
595,1,0.5112375
1559,1,0.7098759
1510,0,-0.5392029
1409,0,-0.65317523
1673,1,1.3677355
1892,0,0.8314512
1221,0,0.89809495
889,1,1.2254308
1785,1,-0.7247982
1748,0,-1.1712593
1933,1,0.7543591
1155,1,0.5337838
1124,1,0.41464576
758,0,-0.61736786
1685,1,0.8416238
337,0,0.90827584
681,0,0.08325525
107,1,1.3358256
154,0,1.4932033
898,1,1.4882618
1907,1,-0.26340845
990,1,0.0012142332
1270,1,1.4180528
549,0,-0.9329441
986,1,-0.4630241
1059,0,0.097455285
1619,0,-0.8404909
230,1,-0.11836064
587,0,-0.44513947
136,1,1.132795
1256,1,0.5271609
1733,1,0.8560693
1686,0,0.7761305
839,0,-1.0603282
447,0,-0.2771164
1261,1,0.98091197
807,1,0.95787275
252,0,-0.61434686
896,0,0.20300564
